,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
0,12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
1,37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
2,25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
3,54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
4,31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
5,2*,6,2,0,0,100.00,7,not out,1,v Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
6,16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,26 Sep 2009,ODI # 2898
7,TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion,28 Sep 2009,ODI # 2901
8,79*,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,30 Sep 2009,ODI # 2904
9,30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,25 Oct 2009,ODI # 2913
10,10,32,16,1,0,62.50,3,caught,2,v Australia,Mohali,2 Nov 2009,ODI # 2919
11,27,20,19,4,0,142.10,7,bowled,1,v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
12,54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
13,107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
14,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
15,9,19,12,1,0,75.00,3,caught,1,v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
16,91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
17,71*,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
18,102*,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
19,2,6,8,0,0,25.00,3,caught,1,v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
20,31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,21 Feb 2010,ODI # 2961
21,DNB,-,-,-,-,-,-,-,1,v South Africa,Gwalior,24 Feb 2010,ODI # 2962
22,57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
23,0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
24,82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
25,18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
26,68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
27,11,35,22,0,0,50.00,3,stumped,2,v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
28,18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
29,10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
30,28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
31,0,5,3,0,0,0.00,3,caught,2,v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
32,8,22,16,1,0,50.00,3,caught,1,v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
33,37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
34,118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
35,105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
36,64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
37,63*,83,70,6,2,90.00,3,not out,2,v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
38,0,3,2,0,0,0.00,3,caught,2,v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
39,2,10,8,0,0,25.00,3,caught,2,v New Zealand,Chennai,10 Dec 2010,ODI # 3077
40,54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,12 Jan 2011,ODI # 3079
41,22,43,34,1,0,64.70,3,run out,1,v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
42,28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,18 Jan 2011,ODI # 3082
43,87*,126,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha,21 Jan 2011,ODI # 3084
44,2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,23 Jan 2011,ODI # 3087
45,100*,113,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
46,8,12,5,1,0,160.00,7,bowled,1,v England,Bengaluru,27 Feb 2011,ODI # 3110
47,34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
48,12,16,20,2,0,60.00,5,bowled,2,v Netherlands,Delhi,9 Mar 2011,ODI # 3124
49,1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,12 Mar 2011,ODI # 3128
50,59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,20 Mar 2011,ODI # 3141
51,24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
52,9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,30 Mar 2011,ODI # 3147
53,35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
54,2,5,8,0,0,25.00,3,caught,2,v West Indies,Port of Spain,6 Jun 2011,ODI # 3159
55,81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,8 Jun 2011,ODI # 3160
56,0,1,1,0,0,0.00,3,lbw,2,v West Indies,North Sound,11 Jun 2011,ODI # 3161
57,22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,13 Jun 2011,ODI # 3162
58,94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,16 Jun 2011,ODI # 3163
59,55,92,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street,3 Sep 2011,ODI # 3186
60,9,9,9,0,0,100.00,4,caught,1,v England,Southampton,6 Sep 2011,ODI # 3187
61,7,18,18,0,0,38.88,4,caught,1,v England,The Oval,9 Sep 2011,ODI # 3189
62,16,40,36,1,0,44.44,4,caught,1,v England,Lord's,11 Sep 2011,ODI # 3191
63,107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,16 Sep 2011,ODI # 3195
64,37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad,14 Oct 2011,ODI # 3199
65,112*,134,98,16,0,114.28,4,not out,2,v England,Delhi,17 Oct 2011,ODI # 3201
66,35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,20 Oct 2011,ODI # 3205
67,86*,-,99,11,0,86.86,4,not out,2,v England,Wankhede,23 Oct 2011,ODI # 3207
68,0,5,5,0,0,0.00,3,bowled,1,v England,Eden Gardens,25 Oct 2011,ODI # 3210
69,3,13,6,0,0,50.00,4,bowled,2,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
70,117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
71,20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
72,23*,15,11,3,0,209.09,6,not out,1,v West Indies,Indore,8 Dec 2011,ODI # 3223
73,80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai,11 Dec 2011,ODI # 3224
74,31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne,5 Feb 2012,ODI # 3231
75,77,156,94,8,1,81.91,3,run out,2,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
76,18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,12 Feb 2012,ODI # 3237
77,15,32,25,1,0,60.00,3,lbw,2,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
78,12,44,25,0,0,48.00,3,caught,2,v Australia,Brisbane,19 Feb 2012,ODI # 3244
79,66,116,83,2,0,79.51,4,caught,2,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
80,21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney,26 Feb 2012,ODI # 3250
81,133*,133,86,16,2,154.65,4,not out,2,v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
82,108,148,120,7,0,90.00,3,caught,1,v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
83,66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
84,183,211,148,22,1,123.64,3,caught,2,v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
85,106,158,113,9,0,93.80,3,caught,1,v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
86,1,6,5,0,0,20.00,3,caught,1,v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
87,38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
88,128*,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
89,23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
90,0,9,5,0,0,0.00,3,bowled,1,v Pakistan,Chennai,30 Dec 2012,ODI # 3314
91,6,12,9,1,0,66.66,3,caught,2,v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
92,7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
93,15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,11 Jan 2013,ODI # 3318
94,37,86,54,1,1,68.51,3,caught,1,v England,Kochi,15 Jan 2013,ODI # 3320
95,77*,110,79,9,2,97.46,3,not out,2,v England,Ranchi,19 Jan 2013,ODI # 3322
96,26,44,33,3,0,78.78,3,caught,2,v England,Mohali,23 Jan 2013,ODI # 3327
97,0,1,1,0,0,0.00,3,caught,1,v England,Dharamsala,27 Jan 2013,ODI # 3329
98,31,46,41,2,0,75.60,3,caught,1,v South Africa,Cardiff,6 Jun 2013,ODI # 3363
99,22,18,18,4,0,122.22,3,bowled,2,v West Indies,The Oval,11 Jun 2013,ODI # 3368
100,22*,36,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
101,58*,80,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
102,43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,23 Jun 2013,ODI # 3377
103,11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,30 Jun 2013,ODI # 3380
104,2,6,5,0,0,40.00,4,caught,2,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
105,102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
106,31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
107,2,8,5,0,0,40.00,3,caught,2,v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
108,115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
109,14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
110,68*,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
111,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
112,DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
113,61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,13 Oct 2013,ODI # 3419
114,100*,82,52,8,7,192.30,3,not out,2,v Australia,Jaipur,16 Oct 2013,ODI # 3420
115,68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,19 Oct 2013,ODI # 3421
116,DNB,-,-,-,-,-,-,-,2,v Australia,Ranchi,23 Oct 2013,ODI # 3422
