Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
150,21,49,28,3,0,75.00,1,bowled,1,v Sri Lanka,Colombo (RPS),18-07-1997,ODI # 1218
151,TDNB,-,-,-,-,-,-,-,-,v Pakistan,Colombo (SSC),20-07-1997,ODI # 1219
152,28,36,21,5,0,133.33,2,bowled,2,v Bangladesh,Colombo (SSC),24-07-1997,ODI # 1221
153,53,109,67,2,0,79.10,4,caught,1,v Sri Lanka,Colombo (RPS),26-07-1997,ODI # 1222
154,27,55,28,3,0,96.42,1,caught,2,v Sri Lanka,Colombo (RPS),17-08-1997,ODI # 1223
155,6,4,6,1,0,100.00,1,lbw,1,v Sri Lanka,Colombo (RPS),20-08-1997,ODI # 1224
156,27,47,31,4,0,87.09,2,caught,1,v Sri Lanka,Colombo (SSC),23-08-1997,ODI # 1225
157,39,41,32,3,2,121.87,1,caught,2,v Sri Lanka,Colombo (SSC),24-08-1997,ODI # 1226
158,17,82,54,2,0,31.48,1,caught,1,v Pakistan,Toronto,13-09-1997,ODI # 1227
159,25*,66,45,3,0,55.55,4,not out,2,v Pakistan,Toronto,14-09-1997,ODI # 1228
160,TDNB,-,-,-,-,-,-,-,-,v Pakistan,Toronto,17-09-1997,ODI # 1229
161,0,26,10,0,0,0.00,4,caught,1,v Pakistan,Toronto,18-09-1997,ODI # 1230
162,6,10,7,1,0,85.71,1,caught,2,v Pakistan,Toronto,20-09-1997,ODI # 1231
163,51,106,64,4,1,79.68,1,lbw,1,v Pakistan,Toronto,21-09-1997,ODI # 1232
164,2,17,11,0,0,18.18,1,bowled,1,v Pakistan,Hyderabad (Sind),28-09-1997,ODI # 1233
165,21,24,18,2,1,116.66,1,caught,2,v Pakistan,Karachi,30-09-1997,ODI # 1234
166,7,19,11,1,0,63.63,1,caught,1,v Pakistan,Lahore,02-10-1997,ODI # 1236
167,91,146,87,4,2,104.59,4,stumped,2,v England,Sharjah,11-12-1997,ODI # 1259
168,3,4,4,0,0,75.00,5,caught,1,v Pakistan,Sharjah,14-12-1997,ODI # 1262
169,1,3,2,0,0,50.00,4,run out,2,v West Indies,Sharjah,16-12-1997,ODI # 1264
170,82*,110,86,6,0,95.34,4,not out,2,v Sri Lanka,Guwahati,22-12-1997,ODI # 1267
171,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Indore,25-12-1997,ODI # 1268
172,6,23,13,0,0,46.15,3,caught,1,v Sri Lanka,Margao,28-12-1997,ODI # 1269
173,54,104,76,4,0,71.05,4,caught,2,v Bangladesh,Dhaka,10-01-1998,ODI # 1271
174,67,-,44,11,0,152.27,2,stumped,1,v Pakistan,Dhaka,11-01-1998,ODI # 1273
175,95,104,78,6,5,121.79,2,bowled,2,v Pakistan,Dhaka,14-01-1998,ODI # 1276
